"lipid","type","logFC","logCPM","LR","PValue","FDR","SolventBlank","5A","5C","5D","5E","4A","4C","4D","4E","mean1","mean2"
"20:5 Cholesteryl ester","CE",-0.0322039494218298,6.70116202002182,0.0101710492533584,0.91966824887198,0.999955892769757,57520.944305427,118552.468719497,108951.488372784,89362.025695794,88750.066055303,114610.548126226,102587.46795655,94244.986389181,92407.806716908,100962.702297216,101404.012210845
"22:0 Campesteryl ester","CE",-1.43296832308248,7.04294019814779,19.3617383061769,1.08152383057481e-05,0.00318416014868852,56089.523674016,65364.404617319,81494.7456817761,67161.924453725,85094.9259528992,69284.0851135222,146632.5484772,482705.307006795,65772.624679558,191098.641319269,74779.0001764298
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester","CE",0.161658926964052,6.18180218815023,0.25615900850328,0.612771333434315,0.999955892769757,56579.624145499,75701.325286862,78432.965820317,68150.204757684,66964.444641091,67999.644851669,65592.664840686,62691.884262094,58754.364143369,63759.6395244545,72312.2351264885
"22:0 Sitosteryl ester","CE",-1.44656739914704,7.16144849909793,19.7169366387477,8.98019492638532e-06,0.00318416014868852,63523.64491272,69785.205062858,92181.406372067,65623.704132071,85293.666503895,74495.585052494,149641.190597488,544335.216872663,70909.185104368,209845.294406753,78220.9955177228
"22:1 Campesteryl ester","CE",-1.41652408008552,7.12265577461013,18.9363052609654,1.3515596568869e-05,0.00318416014868852,62199.984283449,70038.624389649,84880.405975347,70397.984451283,89893.6260223359,76474.62516785,145998.811111435,513809.183914157,68460.064483639,201185.67116927,78802.6602096537
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester","CE",0.1182160868227,6.19360110744419,0.137015294868206,0.711266429231499,0.999955892769757,58782.0442581043,74460.384979242,79045.285751339,62317.864501961,59341.584236144,74290.985778804,68748.185043335,65517.724258428,63428.624114976,67996.3797988858,68791.2798671715
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester","CE",-1.40036433841361,7.1458315030122,18.5222689994462,1.67930718391658e-05,0.00318416014868852,65643.6044349657,68230.9246444736,93953.4871215771,67561.504539483,93413.2267684797,69961.144554125,140957.59005742,534807.814312465,66959.9247016837,203171.618406423,80789.7857685034
"22:2 Campesteryl ester","CE",-1.16639982054258,7.08433239410082,12.99488034869,0.000312343808597099,0.0389648901224882,68301.80436706,75211.584808347,95597.146743764,74295.585472117,95783.466903695,76670.345657346,142582.749908342,440745.970199577,77904.6853027281,184475.937766998,85221.9459819808
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester","CE",-1.3933003578506,7.07821308578742,18.3424792892561,1.84546028383402e-05,0.00318416014868852,59205.5641632129,68236.8648071365,88511.965911866,67682.4050941523,92941.166030873,70850.6451454123,139748.629844708,496094.531860387,63356.524291976,192512.582785621,79343.100461007
"22:3 Campesteryl ester","CE",-0.2825848642123,6.39937806146391,0.78189943921916,0.376560852586182,0.999955892769757,60783.54490662,74876.525192258,81012.625976558,60843.824676509,64866.984512314,72828.605026235,77355.585342408,144787.688690127,65985.464767459,90239.3359565572,70399.9900894098
"22:3 Stigmasteryl ester","CE",-1.39054922930854,7.07535152877353,18.272685478948,1.91432473869049e-05,0.00318416014868852,63751.9248046779,68224.7446937683,85062.7264404299,64687.904418928,89498.386749269,68609.264747624,135810.450729533,502254.890640196,65499.7647247153,193043.592710517,76868.4405755988
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester","CE",0.0892809031521168,7.16885907456202,0.0781657929820767,0.77979863256723,0.999955892769757,112929.308471668,146413.690734886,149121.071105963,126903.109374991,125571.069244397,134893.69003295,143195.94946285,129540.009094224,123227.128478979,132714.194267251,137002.235115059
"22:5 Cholesteryl ester","CE",0.0470991438451011,7.07563454615133,0.0217557108599067,0.88273882217069,0.999955892769757,96340.786437966,136838.969055182,142871.690185547,117379.68878175,116819.707885743,133909.288604762,128248.66821289,124790.568664537,122021.829162589,127242.588661195,128477.513977055
"22:6 Cholesteryl ester","CE",0.0448147443574745,7.01373896885048,0.0196965215754972,0.888387967042809,0.999955892769757,95550.206481934,128912.489318828,133378.729095443,115957.187713639,119672.948486318,122919.388763438,123431.229034427,119252.829132074,112111.047882082,119428.623703005,124480.338653557
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester","CE",-1.41905538587207,7.1388073282605,19.0015494983945,1.30612345273705e-05,0.00318416014868852,65884.6048202597,69992.304962167,85548.406021111,68425.344406115,90589.0057601821,71744.7050476146,155031.111816505,519127.437637373,68976.464736944,203719.929809609,78638.7652873938
"3-hydroxyarachidonoylcarnitine","AC",0.00611883006664068,10.908110157481,0.000367227476090193,0.98471093013452,0.999955892769757,1353968.27636693,1431563.96240236,2529115.63769519,1615617.88671892,1880848.10937464,1593527.96679614,1973347.02734335,1805177.96484331,1803644.35009709,1793924.32726997,1864286.39904778
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine","AC",-0.0155627951430897,10.5854543628966,0.00237558889330103,0.96112648777698,0.999955892769757,1060809.85693374,1110472.89209005,2035102.61767615,1295461.98730516,1496414.26806594,1232840.35302726,1622231.54589786,1493518.22363353,1446812.23095798,1448850.58837916,1484362.94128432
"3-hydroxylinoleoylcarnitine,","AC",0.0202205479386075,11.406689295757,0.00401034412789159,0.949505894718615,0.999955892769757,1510980.142578,3695982.1865235,2710360.4501953,2008049.4990235,2399076.0146478,2903735.2666018,2335584.8974609,2581575.1269519,2456930.00586,2569456.32421865,2703367.03759752
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine","AC",0.0966933768237666,12.3385435062919,0.0916880330187269,0.762042040508511,0.999955892769757,4463769.2910161,5171493.8789063,4926638.1054699,4551385.0625003,4640527.3046872,4845704.8515616,4798961.9999996,4748259.2539069,4620762.9179697,4753422.25585945,4822511.08789092
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine","AC",-0.0147759451776897,10.8581788799848,0.00214144771598512,0.963090444233004,0.999955892769757,1429958.7871091,1505137.7207036,2036246.16308535,1657017.865234,1808201.7089851,1608012.1347653,1915509.3837892,1761495.0429689,1670949.94921918,1738991.62768565,1751650.86450201
"C12:0","FFA",-0.0755248997725497,9.00230760358099,0.0559400605152405,0.81303189586521,0.999955892769757,404439.710083036,466721.49291989,470754.57373048,446806.113220227,526054.33905038,478314.45263669,479085.19396974,519316.116821255,451819.872497563,482133.908981312,477584.129730244
"C12:1","FFA",0.143011484139437,8.75662877423064,0.200518585255253,0.654302584179295,0.999955892769757,430924.37036127,429409.471618554,374286.64770502,389238.007629409,379925.086883453,460222.25231932,359676.34460437,375533.807159448,354132.783203063,387391.29682155,393214.803459109
"C14:0","FFA",0.102230967440683,9.74712144583284,0.102487288326301,0.748864964394379,0.999955892769757,625245.34619145,796403.75610353,811701.897949151,947689.90820309,789381.997924704,736171.43530263,708583.66687008,902653.827514714,798150.35992432,786389.822402936,836294.390045119
"C14:1","FFA",0.273649949877483,11.0803895717038,0.733398353571829,0.391783862807137,0.999955892769757,1791096.38281253,1860257.47827173,1961765.10400376,2644850.38366706,1843674.00744636,1705599.57275367,1731437.94677709,1991214.94189461,2327939.67993113,1939048.03533912,2077636.74334723
