"lipid","type","logFC","logCPM","LR","PValue","FDR","I7-1","I7-2","I7-3","I7-4","S7-1","S7-2","S7-3","S7-4","Blank","mean1","mean2"
"22:3 Campesteryl ester","CE",-0.016935765640018,7.95126752975336,0.00646875001689295,0.935896428934313,0.999799278063257,75052.4244422827,80812.4653587312,67339.3450469909,73474.3457260168,78087.6050186167,86445.2271041831,68385.8449401754,79219.5852737505,21152.3614883465,74169.6451435054,78034.5655841814
"22:3 Stigmasteryl ester","CE",-0.0510564687102724,6.5852558063067,0.0587569316863892,0.808471558152368,0.999799278063257,23847.261802679,27507.8019981341,25466.9417762801,29513.7622223057,25385.4815864467,32313.5623817389,27500.0019798287,29595.5819663999,19244.2213668779,26583.9419498497,28698.6569786035
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester","CE",0.0272519612581042,9.7183038365146,0.0167530211194844,0.897014671415132,0.999799278063257,226391.81677245,255393.159668,216785.495361298,256247.07751457,229826.19592282,256353.65820308,245162.39636228,241675.937255932,175881.51293943,238704.38732908,243254.546936028
"22:5 Cholesteryl ester","CE",0.0466350260853304,9.65376522391571,0.0490577694226983,0.824711011171088,0.999799278063257,221471.677063025,245729.495910555,210719.03485107,243124.817871045,216160.054443339,249487.238036946,228169.674865584,232870.63647474,165574.032165525,230261.256423924,231671.900955152
"22:6 Cholesteryl ester","CE",0.0288415877093536,9.61309131775207,0.0187642923256135,0.891044376620478,0.999799278063257,219621.697021411,231986.377075142,209800.21533205,230856.63574208,217792.29479972,235278.776245091,223162.97686766,231532.857177672,157780.2307739,223066.231292671,226941.726272536
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester","CE",-0.0256944648416486,7.1923895619435,0.0148821711470921,0.902904954498424,0.999799278063257,24644.2418403628,31097.5820693792,25410.7418480056,30017.301876065,27229.0818786689,31847.4222679289,26959.3018836942,31727.3023757847,109107.007392883,27792.4669084531,29440.7771015192
"3-hydroxyarachidonoylcarnitine","AC",0.0857368691937486,10.3155784515733,0.165800453645716,0.68387136970258,0.999799278063257,447554.671726377,316313.182373043,217802.45589832,312034.821433937,228871.295513141,329698.643360168,326061.704128302,376892.665950761,537639.18090807,323426.282857919,315381.077238093
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine","AC",0.0771849263085913,10.1640629158034,0.134376788802228,0.71393650864815,0.999799278063257,402551.747169509,287518.741172808,195093.773597622,282831.721153292,216556.715278578,295824.400806493,302989.701004032,329584.82294085,474301.83447266,291998.995773308,286238.910007488
"3-hydroxylinoleoylcarnitine,","AC",0.737475730920577,11.6850033207359,12.1382860851591,0.000493971519151508,0.026409834434636,1774415.29278554,689057.76705551,666188.16455076,1375513.38720656,557476.679298406,682075.366649623,756637.692161568,796617.837417563,844522.93798837,1126293.65289959,698201.89388179
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine","AC",-0.107367540503707,13.1072635125168,0.2600085138547,0.610114305726905,0.999799278063257,3166148.22167925,2587370.39941398,1331140.61474627,1979121.1777337,1833509.1494145,2609975.66601569,2703273.51025373,2936182.36303751,2669517.3808594,2265945.1033933,2520735.17218036
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine","AC",0.00712930168126181,10.6557487492047,0.00114660894132612,0.972987502757379,0.999799278063257,565755.680923573,420864.192672774,253739.257770436,399622.425903403,331291.184017189,419314.350250241,436582.789638523,498602.955520665,612752.20458982,409995.389317547,421447.819856655
"C12:0","FFA",0.122145170301387,9.83982067026408,0.336456885192774,0.56188154975823,0.999799278063257,249775.796630847,259870.819335877,294793.021179276,242488.117553709,241595.477111796,253212.897399904,239788.817260758,263655.12042235,228653.815917935,261731.938674927,249563.078048702
"C12:1","FFA",0.0787841262217553,9.18796852506404,0.13999279547852,0.708288174663769,0.999799278063257,167471.991882312,168720.552520753,148679.570800737,154407.030578598,154750.711608874,156259.610504146,152283.771118168,163740.27218623,172270.611755347,159819.7864456,156758.591354354
"C14:0","FFA",0.166326614517783,11.1933650298631,0.623753819212652,0.429655754239484,0.999799278063257,606240.32214361,600037.06335442,767353.774291899,667935.50732413,619810.28210425,589522.24340816,585953.91906722,646972.02819832,684010.945434429,660391.666778515,610564.618194488
"C14:1","FFA",0.0545707913630448,12.8967985684538,0.0671793236979283,0.795488843443275,0.999799278063257,1713194.17724615,1662402.89990268,2319325.50683678,2419711.39746053,2225362.94140677,1946798.45996107,1744108.33105465,2209639.17529354,2462172.03027346,2028658.49536153,2031477.22692901
"C15:0","FFA",0.0427459282161151,11.5486738677664,0.0412198833073489,0.839114081603004,0.999799278063257,672536.64410397,553475.796813889,925159.742248475,974350.61035112,924705.803405674,803525.098632774,575992.061279225,860959.243164169,1037131.98553458,781380.698379364,791295.551620461
